                                                                                                                                                                                         
{'loss_mask': 0.5333766937255859, 'loss_dice': 8.518881797790527, 'loss_llm': 7.033348083496094e-06, 'loss_attention': 0.09941405802965164, 'epoch': 8.9}
{'loss_mask': 0.5797371864318848, 'loss_dice': 46.371177673339844, 'loss_llm': 2.8312206268310547e-06, 'loss_attention': 0.09941405802965164, 'epoch': 8.9}
{'loss_mask': 6.324339389801025, 'loss_dice': 9.013360977172852, 'loss_llm': 3.904104232788086e-06, 'loss_attention': 0.27076292037963867, 'epoch': 8.9}
{'loss_mask': 0.5177209973335266, 'loss_dice': 9.553764343261719, 'loss_llm': 4.172325134277344e-05, 'loss_attention': -0.41251951456069946, 'epoch': 8.9}
{'loss_mask': 5.544159889221191, 'loss_dice': 9.45482349395752, 'loss_llm': 4.976987838745117e-06, 'loss_attention': -0.15076109766960144, 'epoch': 8.9}
{'loss_mask': 1.8092656135559082, 'loss_dice': 28.27412223815918, 'loss_llm': 2.6345252990722656e-05, 'loss_attention': -0.7280468344688416, 'epoch': 8.9}
{'loss_mask': 19.62688636779785, 'loss_dice': 45.102848052978516, 'loss_llm': 2.294778823852539e-06, 'loss_attention': -0.4276367127895355, 'epoch': 8.9}
{'loss_mask': 1.0445024967193604, 'loss_dice': 4.628726005554199, 'loss_llm': 2.1338462829589844e-05, 'loss_attention': -0.17478515207767487, 'epoch': 8.9}
{'loss_mask': 67.955810546875, 'loss_dice': 49.76502227783203, 'loss_llm': 1.704692840576172e-05, 'loss_attention': 2.0196874141693115, 'epoch': 8.9}
{'loss': 28.0916, 'grad_norm': 453.57472779180085, 'learning_rate': 1.883274518624556e-05, 'epoch': 8.9}
{'loss_mask': 10.912513732910156, 'loss_dice': 7.81270694732666, 'loss_llm': 0.00010728836059570312, 'loss_attention': 0.1778469830751419, 'epoch': 8.9}
{'loss_mask': 3.7048678398132324, 'loss_dice': 4.006490230560303, 'loss_llm': 8.344650268554688e-06, 'loss_attention': -0.1872265636920929, 'epoch': 8.9}
{'loss_mask': 5.9885759353637695, 'loss_dice': 28.737701416015625, 'loss_llm': 1.245737075805664e-05, 'loss_attention': 0.013236084021627903, 'epoch': 8.9}
{'loss_mask': 4.004302501678467, 'loss_dice': 5.215513706207275, 'loss_llm': 5.340576171875e-05, 'loss_attention': 0.392822265625, 'epoch': 8.9}
{'loss_mask': 4.604886531829834, 'loss_dice': 2.897108554840088, 'loss_llm': 5.781650543212891e-06, 'loss_attention': -0.007075195200741291, 'epoch': 8.9}
{'loss_mask': 2.7255923748016357, 'loss_dice': 2.1742992401123047, 'loss_llm': 2.7120113372802734e-06, 'loss_attention': 0.0814208984375, 'epoch': 8.9}
{'loss_mask': 1.6912587881088257, 'loss_dice': 2.490008592605591, 'loss_llm': 1.633167266845703e-05, 'loss_attention': -0.2603124976158142, 'epoch': 8.9}
{'loss_mask': 2.398759126663208, 'loss_dice': 7.5897216796875, 'loss_llm': 0.000202178955078125, 'loss_attention': -0.8039843440055847, 'epoch': 8.9}
{'loss_mask': 2.6402366161346436, 'loss_dice': 45.971771240234375, 'loss_llm': 1.169741153717041e-06, 'loss_attention': 2.028125047683716, 'epoch': 8.9}
{'loss_mask': 6.783621311187744, 'loss_dice': 4.1989545822143555, 'loss_llm': 1.475214958190918e-06, 'loss_attention': -0.07179687172174454, 'epoch': 8.9}
{'loss': 15.2381, 'grad_norm': 133.1466633681237, 'learning_rate': 1.8807426381163153e-05, 'epoch': 8.9}
{'loss_mask': 10.244794845581055, 'loss_dice': 10.93734359741211, 'loss_llm': 3.886222839355469e-05, 'loss_attention': 0.24425047636032104, 'epoch': 8.9}
{'loss_mask': 1.9738998413085938, 'loss_dice': 31.133169174194336, 'loss_llm': 2.1904706954956055e-06, 'loss_attention': 0.158955380320549, 'epoch': 8.9}
{'loss_mask': 0.4833463430404663, 'loss_dice': 10.234148979187012, 'loss_llm': 1.5020370483398438e-05, 'loss_attention': -0.9220312237739563, 'epoch': 8.9}
